trophicGroup,experiment,year,region,annual_mean,annual_sd,annual_mean_u,annual_mean_l
Carni,ssp585,2073,Temperate,0.08020612726574254,1.699299246872832,1.7795053741385747,-1.6190931196070895
Carni,ssp585,2074,Temperate,0.05458573713113445,1.6016259438817806,1.656211681012915,-1.5470402067506461
Carni,ssp585,2075,Temperate,0.030438077549579376,1.5774002535913008,1.6078383311408802,-1.5469621760417214
Carni,ssp585,2076,Temperate,0.03781471479716277,1.3702019188470058,1.4080166336441686,-1.332387204049843
Carni,ssp585,2077,Temperate,0.14279989777478155,1.3161758667991899,1.4589757645739714,-1.1733759690244083
Carni,ssp585,2078,Temperate,0.03964103622947461,1.6517450378144929,1.6913860740439675,-1.6121040015850183
Carni,ssp585,2079,Temperate,0.08663252432686724,1.563226845741265,1.6498593700681323,-1.4765943214143977
Carni,ssp585,2080,Temperate,0.036987104263029424,1.0838536966528878,1.1208408009159172,-1.0468665923898584
Carni,ssp585,2081,Temperate,0.004411966006444082,1.1663157870693528,1.170727753075797,-1.1619038210629087
Carni,ssp585,2082,Temperate,0.009794283653140678,1.2773107974733395,1.2871050811264801,-1.267516513820199
Carni,ssp585,2083,Temperate,0.09264560716308332,1.649614739776977,1.7422603469400602,-1.5569691326138937
Carni,ssp585,2084,Temperate,0.013258048726528936,1.6533804369029685,1.6666384856294976,-1.6401223881764395
Carni,ssp585,2085,Temperate,0.1207012108081283,1.4494523958711343,1.5701536066792625,-1.328751185063006
Carni,ssp585,2086,Temperate,0.12422554511841269,1.6397633802812288,1.7639889253996415,-1.5155378351628161
Carni,ssp585,2087,Temperate,0.08641134848278412,1.664941188893608,1.7513525373763923,-1.578529840410824
Carni,ssp585,2088,Temperate,0.12966925584016756,1.4706193994092842,1.6002886552494517,-1.3409501435691167
Carni,ssp585,2089,Temperate,0.21407538682921395,1.7512914903670498,1.9653668771962638,-1.5372161035378358
Carni,ssp585,2090,Temperate,0.07721724031480943,1.5697449625754405,1.64696220289025,-1.492527722260631
Carni,ssp585,2091,Temperate,0.1176933477653002,1.4246228169265884,1.5423161646918886,-1.3069294691612883
Carni,ssp585,2092,Temperate,0.0354555668263125,1.7347440824655307,1.7701996492918433,-1.6992885156392181
Carni,ssp585,2093,Temperate,0.06487111270389612,1.7513763777030427,1.8162474904069388,-1.6865052649991465
Carni,ssp585,2094,Temperate,0.025826701040878697,1.8881275537201117,1.9139542547609905,-1.8623008526792328
Carni,ssp585,2095,Temperate,0.09129150503323122,1.9465388728968325,2.0378303779300637,-1.8552473678636012
Carni,ssp585,2096,Temperate,0.132289831007681,1.5500282453690637,1.6823180763767447,-1.4177384143613827
Carni,ssp585,2097,Temperate,0.11007000576026613,1.4373667675100117,1.5474367732702778,-1.3272967617497455
Carni,ssp585,2098,Temperate,-0.013541862974621772,1.82787207816887,1.8143302151942482,-1.8414139411434918
Carni,ssp585,2099,Temperate,0.07243153395229554,1.4919776341161244,1.56440916806842,-1.4195461001638288
Carni,ssp585,2100,Temperate,0.19991866462590008,1.5619712712847111,1.7618899359106113,-1.362052606658811
Carni,ssp126,1980,Tropical,-0.03085129896026213,0.5830328221158984,0.5521815231556362,-0.6138841210761605
Carni,ssp126,1981,Tropical,5.944780225138239e-4,0.9542382097494425,0.9548326877719563,-0.9536437317269287
Carni,ssp126,1982,Tropical,-0.007399475117175354,0.42081731943063866,0.4134178443134633,-0.42821679454781403
Carni,ssp126,1983,Tropical,-0.012251568531629934,0.5215856851691189,0.509334116637489,-0.5338372537007487
Carni,ssp126,1984,Tropical,-0.03508504668570297,0.6731100771878354,0.6380250305021324,-0.7081951238735384
Carni,ssp126,1985,Tropical,-0.09731215200715097,0.5029039774727454,0.4055918254655944,-0.6002161294798963
Carni,ssp126,1986,Tropical,0.03667736139857231,0.3849014854590498,0.4215788468576221,-0.3482241240604775
Carni,ssp126,1987,Tropical,-0.08459044255816606,0.6144724627502642,0.5298820201920982,-0.6990629053084303
Carni,ssp126,1988,Tropical,-0.01813840298961411,0.46564645475264266,0.44750805176302855,-0.48378485774225677
Carni,ssp126,1989,Tropical,0.023434277736646587,0.5975817133035446,0.6210159910401912,-0.574147435566898
Carni,ssp126,1990,Tropical,0.004048222974414667,0.4059565848081997,0.41000480778261433,-0.40190836183378503
Carni,ssp126,1991,Tropical,-0.04566909397731523,0.5042651696727664,0.45859607569545113,-0.5499342636500816
Carni,ssp126,1992,Tropical,-0.026495309974649228,0.423437127918758,0.39694181794410877,-0.4499324378934072
Carni,ssp126,1993,Tropical,-0.0031585646047243474,0.5820778375100458,0.5789192729053215,-0.5852364021147701
