order,family,scientificName,aphiaID,TG_latest,References
Calanoida,Metridinidae,Pleuromamma robusta,104642,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Pleuromamma xiphias,104643,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Pontellidae,Pontella novaezealandiae,354875,carnivore,"(Campbell et al., 2021)"
Calanoida,Pontellidae,Pontella pulvinata,196793,carnivore,"(Campbell et al., 2021)(Benedetti et al., 2022)"
Calanoida,Pontellidae,Pontella securifer,104740,carnivore,"(Campbell et al., 2021) (Benedetti et al., 2022)"
Calanoida,Pontellidae,Pontellina morii,220928,carnivore,"(Campbell et al., 2021)"
Calanoida,Pontellidae,Pontellina plumata,104743,carnivore,"(Campbell et al., 2021) (Benedetti et al., 2022)"
Calanoida,Pontellidae,Pontellina securifer,196786,carnivore,"(Campbell et al., 2021)(Benedetti et al., 2022)"
Calanoida,Pontellidae,Pontellopsis krameri,360246,carnivore,"(Campbell et al., 2021)"
Calanoida,Pontellidae,Pontellopsis regalis,104745,carnivore,Inherited from family level
Calanoida,Scolecitrichidae,Pseudoamallothrix ovata,345251,omnivore,"(Campbell et al., 2021)"
Calanoida,Pseudodiaptomidae,Pseudodiaptomus baylyi,355135,omnivore,"(Campbell et al., 2021)"
Calanoida,Pseudodiaptomidae,Pseudodiaptomus mertoni,355172,omnivore,"(Campbell et al., 2021)"
Calanoida,Rhincalanidae,Rhincalanus cornutus cornutus,1488083,omnivore,"(Richardson et al., 2006) (Campbell et al., 2021) (Pata & Hunt, 2025)"
Calanoida,Rhincalanidae,Rhincalanus cornutus,104542,omnivore,"(Richardson et al., 2006)"
Calanoida,Rhincalanidae,Rhincalanus gigas,220837,omnivore,"(Richardson et al., 2006) (Campbell et al., 2021) (Pata & Hunt, 2025)"
Calanoida,Rhincalanidae,Rhincalanus nasutus,104543,omnivore,"(Richardson et al., 2006) (Campbell et al., 2021) (Pata & Hunt, 2025)"
Calanoida,Rhincalanidae,Rhincalanus rostrifrons,356829,omnivore,"(Richardson et al., 2006) (Campbell et al., 2021)"
Calanoida,Scolecitrichidae,Scaphocalanus brevicornis,104790,omnivore,"(Benedetti et al., 2022) (Pata & Hunt, 2025)"
Calanoida,Scolecitrichidae,Scaphocalanus echinatus,104793,omnivore,"(Benedetti et al., 2022) (Pata & Hunt, 2025)"
Calanoida,Scolecitrichidae,Scaphocalanus farrani,345286,omnivore,"(Benedetti et al., 2022) (Pata & Hunt, 2025)"
Calanoida,Scolecitrichidae,Scolecithricella globulosa,355505,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022) (Razouls et al., 2005-2026)"
Calanoida,Scolecitrichidae,Scolecithricella minor minor,1509944,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022) (Razouls et al., 2005-2026)"
Calanoida,Scolecitrichidae,Scolecithricella minor,104811,omnivore,"(Razouls et al., 2005-2026)"
Calanoida,Scolecitrichidae,Scolecithricella orientalis,104813,omnivore,"(Razouls et al., 2005-2026)"
Calanoida,Scolecitrichidae,Scolecithrix bradyi,104820,omnivore,"(Benedetti et al., 2022)"
Calanoida,Scolecitrichidae,Scolecithrix danae,104821,omnivore,"(Benedetti et al., 2022)"
Calanoida,Scolecitrichidae,Scottocalanus persecans,104832,omnivore,"(Razouls et al., 2005-2026)"
Calanoida,Scolecitrichidae,Scottocalanus securifrons,104833,omnivore,"(Razouls et al., 2005-2026)"
Calanoida,Subeucalanidae,Subeucalanus crassus,104544,omnivore,"(Benedetti et al., 2022)"
Calanoida,Subeucalanidae,Subeucalanus dentatus,360662,omnivore,Inherited from genus level
Calanoida,Subeucalanidae,Subeucalanus longiceps,345366,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Subeucalanidae,Subeucalanus monachus,104545,omnivore,"(Benedetti et al., 2022)"
Calanoida,Subeucalanidae,Subeucalanus mucronatus,104546,omnivore,"(Benedetti et al., 2022)"
Calanoida,Subeucalanidae,Subeucalanus pileatus,104547,omnivore,"(Benedetti et al., 2022)"
Calanoida,Subeucalanidae,Subeucalanus subcrassus,104548,omnivore,"(Benedetti et al., 2022)"
Calanoida,Subeucalanidae,Subeucalanus subtenuis,104549,omnivore,"(Benedetti et al., 2022)"
